No,ID,ASAS_ID_V,ASAS_ID_I,2MASS_ID,RAd,DEC,V,I,V-I,J,J-H,H-K,Type,Period,V_amp,I_amp
80,185958+4047.7,185958+4047.7,185958+4047.7,18595797+4047455,284.99155,40.79597,13.476,11.339,2.137,10.052,0.87,0.259,APER,N/A,0.84,0.2
81,190015+3934.7,noID,190015+3934.7,19001558+3934519,285.06492,39.58111,99.999,12.046,99.999,9.442,0.978,0.474,QPER,270,99.99,0.97
82,190032+4927.4,190032+4927.4,noID,19003262+4927209,285.13593,49.45581,10.149,99.999,99.999,4.855,0.609,0.461,APER,N/A,0.52,99.99
83,190034+4123.7,190034+4123.7,190034+4123.7,19003418+4123400,285.14242,41.39447,12.917,9.979,2.938,8.275,0.921,0.31,QPER,30.86,0.59,0.23
84,190048+5005.5,190048+5005.5,190048+5005.5,19004799+5005312,285.19999,50.09202,12.901,12.334,0.567,11.902,0.162,0.045,RRAB,0.68721,1.06,0.61
85,190053+3920.4,190053+3920.4,190053+3920.3,19005319+3920237,285.22165,39.33992,14.897,9.629,5.268,6.297,0.967,0.482,QPER,188,0.74,0.49
86,190055+4927.7,190055+4927.7,190055+4927.7,19005547+4927412,285.23116,49.46145,13.346,13.009,0.337,12.794,0.097,0.016,EW,0.50792,0.3,0.34
87,190058+4629.4,190058+4629.4,noID,19005779+4629238,285.2408,46.48996,8.761,99.999,99.999,3.982,0.937,0.514,QPER,25.97,0.41,99.99
88,190059+4844.7,190059+4844.7,190059+4844.7,19005878+4844423,285.24494,48.74511,11.864,11.254,0.61,10.848,0.189,0.054,RRAB,0.61322,0.55,0.36
89,190110+4106.1,190110+4106.1,190110+4106.2,19011052+4106094,285.29386,41.10263,12.714,10.678,2.036,9.49,0.867,0.202,QPER,104.7,0.96,0.35
90,190111+4308.5,190111+4308.5,190111+4308.6,19011086+4308326,285.29526,43.14239,13.327,11.343,1.984,10.045,0.857,0.214,APER,N/A,0.92,0.62
91,190139+3902.5,190139+3902.5,190139+3902.5,19013860+3902281,285.41086,39.04115,12.467,11.668,0.799,11.143,0.243,0.064,EW,0.369153,0.7,0.68
92,190148+3807.0,190148+3807.0,190148+3807.0,19014820+3807019,285.45087,38.11722,13.55,12.254,1.296,11.356,0.608,0.117,CEP/QPER,29.57,0.31,0.38
93,190235+3942.6,190235+3942.6,190235+3942.5,BLEND,285.6458,39.7092,12.831,10.279,2.552,99.999,99.999,99.999,APER,N/A,0.24,0.28
94,190252+4055.1,190252+4055.1,190252+4055.1,19025182+4055052,285.71595,40.91811,11.967,9.278,2.689,7.725,0.835,0.33,QPER,33.88,0.22,0.11
